mouseid,fa,pten,somasize,numctrl,numpten,prop,meanss_pten,meanss_all
3,0,1,82.128,2,11,84.6153846,103.1932727,101.191
3,0,1,114.961,2,11,84.6153846,103.1932727,101.191
3,0,1,92.922,2,11,84.6153846,103.1932727,101.191
3,0,1,142.397,2,11,84.6153846,103.1932727,101.191
3,0,1,113.162,2,11,84.6153846,103.1932727,101.191
4,0,0,86.805,56,76,57.5757576,100.7883393,107.8040985
4,0,0,91.033,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.314,56,76,57.5757576,100.7883393,107.8040985
4,0,0,92.113,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.763,56,76,57.5757576,100.7883393,107.8040985
4,0,0,124.496,56,76,57.5757576,100.7883393,107.8040985
4,0,0,106.055,56,76,57.5757576,100.7883393,107.8040985
4,0,0,108.034,56,76,57.5757576,100.7883393,107.8040985
4,0,0,102.187,56,76,57.5757576,100.7883393,107.8040985
4,0,0,80.059,56,76,57.5757576,100.7883393,107.8040985
4,0,0,82.488,56,76,57.5757576,100.7883393,107.8040985
4,0,0,102.457,56,76,57.5757576,100.7883393,107.8040985
4,0,0,91.843,56,76,57.5757576,100.7883393,107.8040985
4,0,0,91.393,56,76,57.5757576,100.7883393,107.8040985
4,0,0,129.713,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.493,56,76,57.5757576,100.7883393,107.8040985
4,0,0,140.058,56,76,57.5757576,100.7883393,107.8040985
4,0,0,100.658,56,76,57.5757576,100.7883393,107.8040985
4,0,0,123.327,56,76,57.5757576,100.7883393,107.8040985
4,0,0,93.372,56,76,57.5757576,100.7883393,107.8040985
4,0,0,89.954,56,76,57.5757576,100.7883393,107.8040985
4,0,0,83.747,56,76,57.5757576,100.7883393,107.8040985
4,0,0,111.992,56,76,57.5757576,100.7883393,107.8040985
4,0,0,112.082,56,76,57.5757576,100.7883393,107.8040985
4,0,0,118.829,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.403,56,76,57.5757576,100.7883393,107.8040985
4,0,0,128.814,56,76,57.5757576,100.7883393,107.8040985
4,0,0,93.912,56,76,57.5757576,100.7883393,107.8040985
4,0,0,104.796,56,76,57.5757576,100.7883393,107.8040985
4,0,0,85.456,56,76,57.5757576,100.7883393,107.8040985
4,0,0,87.975,56,76,57.5757576,100.7883393,107.8040985
4,0,0,92.832,56,76,57.5757576,100.7883393,107.8040985
4,0,0,105.876,56,76,57.5757576,100.7883393,107.8040985
4,0,0,100.748,56,76,57.5757576,100.7883393,107.8040985
4,0,0,94.811,56,76,57.5757576,100.7883393,107.8040985
4,0,0,103.897,56,76,57.5757576,100.7883393,107.8040985
4,0,0,105.696,56,76,57.5757576,100.7883393,107.8040985
4,0,0,73.492,56,76,57.5757576,100.7883393,107.8040985
4,0,0,130.253,56,76,57.5757576,100.7883393,107.8040985
4,0,0,123.327,56,76,57.5757576,100.7883393,107.8040985
4,0,0,85.096,56,76,57.5757576,100.7883393,107.8040985
4,0,0,97.51,56,76,57.5757576,100.7883393,107.8040985
4,0,0,97.6,56,76,57.5757576,100.7883393,107.8040985
4,0,0,139.338,56,76,57.5757576,100.7883393,107.8040985
4,0,0,103.267,56,76,57.5757576,100.7883393,107.8040985
4,0,0,112.712,56,76,57.5757576,100.7883393,107.8040985
4,0,0,80.329,56,76,57.5757576,100.7883393,107.8040985
4,0,0,94.991,56,76,57.5757576,100.7883393,107.8040985
4,0,0,102.727,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.314,56,76,57.5757576,100.7883393,107.8040985
4,0,0,103.267,56,76,57.5757576,100.7883393,107.8040985
4,0,0,81.048,56,76,57.5757576,100.7883393,107.8040985
4,0,0,107.585,56,76,57.5757576,100.7883393,107.8040985
4,0,0,90.224,56,76,57.5757576,100.7883393,107.8040985
4,0,0,103.177,56,76,57.5757576,100.7883393,107.8040985
4,0,0,98.409,56,76,57.5757576,100.7883393,107.8040985
4,0,1,154.181,56,76,57.5757576,112.9736053,107.8040985
4,0,1,91.213,56,76,57.5757576,112.9736053,107.8040985
4,0,1,88.874,56,76,57.5757576,112.9736053,107.8040985
4,0,1,91.393,56,76,57.5757576,112.9736053,107.8040985
4,0,1,110.373,56,76,57.5757576,112.9736053,107.8040985
4,0,1,86.446,56,76,57.5757576,112.9736053,107.8040985
4,0,1,143.026,56,76,57.5757576,112.9736053,107.8040985
4,0,1,135.74,56,76,57.5757576,112.9736053,107.8040985
4,0,1,125.216,56,76,57.5757576,112.9736053,107.8040985
4,0,1,107.225,56,76,57.5757576,112.9736053,107.8040985
4,0,1,133.221,56,76,57.5757576,112.9736053,107.8040985
4,0,1,133.671,56,76,57.5757576,112.9736053,107.8040985
4,0,1,83.207,56,76,57.5757576,112.9736053,107.8040985
4,0,1,86.805,56,76,57.5757576,112.9736053,107.8040985
4,0,1,143.656,56,76,57.5757576,112.9736053,107.8040985
4,0,1,101.918,56,76,57.5757576,112.9736053,107.8040985
4,0,1,88.155,56,76,57.5757576,112.9736053,107.8040985
4,0,1,89.774,56,76,57.5757576,112.9736053,107.8040985
4,0,1,134.211,56,76,57.5757576,112.9736053,107.8040985
4,0,1,95.981,56,76,57.5757576,112.9736053,107.8040985
4,0,1,103.897,56,76,57.5757576,112.9736053,107.8040985
4,0,1,99.039,56,76,57.5757576,112.9736053,107.8040985
4,0,1,124.946,56,76,57.5757576,112.9736053,107.8040985
4,0,1,97.87,56,76,57.5757576,112.9736053,107.8040985
4,0,1,146.984,56,76,57.5757576,112.9736053,107.8040985
4,0,1,82.578,56,76,57.5757576,112.9736053,107.8040985
4,0,1,90.224,56,76,57.5757576,112.9736053,107.8040985
4,0,1,115.231,56,76,57.5757576,112.9736053,107.8040985
4,0,1,96.97,56,76,57.5757576,112.9736053,107.8040985
4,0,1,108.214,56,76,57.5757576,112.9736053,107.8040985
4,0,1,91.933,56,76,57.5757576,112.9736053,107.8040985
4,0,1,103.627,56,76,57.5757576,112.9736053,107.8040985
4,0,1,171.722,56,76,57.5757576,112.9736053,107.8040985
4,0,1,125.395,56,76,57.5757576,112.9736053,107.8040985
4,0,1,94.901,56,76,57.5757576,112.9736053,107.8040985
4,0,1,110.553,56,76,57.5757576,112.9736053,107.8040985
4,0,1,147.434,56,76,57.5757576,112.9736053,107.8040985
4,0,1,106.505,56,76,57.5757576,112.9736053,107.8040985
4,0,1,102.817,56,76,57.5757576,112.9736053,107.8040985
4,0,1,121.617,56,76,57.5757576,112.9736053,107.8040985
4,0,1,109.833,56,76,57.5757576,112.9736053,107.8040985
4,0,1,129.803,56,76,57.5757576,112.9736053,107.8040985
4,0,1,110.463,56,76,57.5757576,112.9736053,107.8040985
4,0,1,107.765,56,76,57.5757576,112.9736053,107.8040985
4,0,1,121.168,56,76,57.5757576,112.9736053,107.8040985
4,0,1,114.241,56,76,57.5757576,112.9736053,107.8040985
4,0,1,110.643,56,76,57.5757576,112.9736053,107.8040985
4,0,1,132.142,56,76,57.5757576,112.9736053,107.8040985
4,0,1,126.745,56,76,57.5757576,112.9736053,107.8040985
4,0,1,115.68,56,76,57.5757576,112.9736053,107.8040985
4,0,1,107.315,56,76,57.5757576,112.9736053,107.8040985
4,0,1,64.497,56,76,57.5757576,112.9736053,107.8040985
4,0,1,126.925,56,76,57.5757576,112.9736053,107.8040985
4,0,1,142.217,56,76,57.5757576,112.9736053,107.8040985
4,0,1,95.891,56,76,57.5757576,112.9736053,107.8040985
4,0,1,100.478,56,76,57.5757576,112.9736053,107.8040985
4,0,1,106.325,56,76,57.5757576,112.9736053,107.8040985
4,0,1,151.122,56,76,57.5757576,112.9736053,107.8040985
4,0,1,107.675,56,76,57.5757576,112.9736053,107.8040985
4,0,1,172.441,56,76,57.5757576,112.9736053,107.8040985
4,0,1,91.483,56,76,57.5757576,112.9736053,107.8040985
4,0,1,114.511,56,76,57.5757576,112.9736053,107.8040985
4,0,1,103.897,56,76,57.5757576,112.9736053,107.8040985
4,0,1,103.447,56,76,57.5757576,112.9736053,107.8040985
4,0,1,140.868,56,76,57.5757576,112.9736053,107.8040985
4,0,1,124.586,56,76,57.5757576,112.9736053,107.8040985
4,0,1,90.853,56,76,57.5757576,112.9736053,107.8040985
4,0,1,127.285,56,76,57.5757576,112.9736053,107.8040985
4,0,1,151.932,56,76,57.5757576,112.9736053,107.8040985
4,0,1,82.038,56,76,57.5757576,112.9736053,107.8040985
4,0,1,96.88,56,76,57.5757576,112.9736053,107.8040985
4,0,1,114.151,56,76,57.5757576,112.9736053,107.8040985
4,0,1,80.958,56,76,57.5757576,112.9736053,107.8040985
4,0,1,102.637,56,76,57.5757576,112.9736053,107.8040985
4,0,1,145.815,56,76,57.5757576,112.9736053,107.8040985
4,0,1,94.541,56,76,57.5757576,112.9736053,107.8040985
5,1,0,100.591,39,55,58.5106383,99.1584359,108.8890213
5,1,0,88.649,39,55,58.5106383,99.1584359,108.8890213
5,1,0,128.319,39,55,58.5106383,99.1584359,108.8890213
5,1,0,110.306,39,55,58.5106383,99.1584359,108.8890213
5,1,0,104.841,39,55,58.5106383,99.1584359,108.8890213
5,1,0,78.327,39,55,58.5106383,99.1584359,108.8890213
5,1,0,81.97,39,55,58.5106383,99.1584359,108.8890213
5,1,0,117.794,39,55,58.5106383,99.1584359,108.8890213
5,1,0,113.949,39,55,58.5106383,99.1584359,108.8890213
5,1,0,96.948,39,55,58.5106383,99.1584359,108.8890213
5,1,0,86.423,39,55,58.5106383,99.1584359,108.8890213
5,1,0,92.293,39,55,58.5106383,99.1584359,108.8890213
5,1,0,108.282,39,55,58.5106383,99.1584359,108.8890213
5,1,0,110.508,39,55,58.5106383,99.1584359,108.8890213
5,1,0,98.364,39,55,58.5106383,99.1584359,108.8890213
5,1,0,95.936,39,55,58.5106383,99.1584359,108.8890213
5,1,0,97.352,39,55,58.5106383,99.1584359,108.8890213
5,1,0,99.579,39,55,58.5106383,99.1584359,108.8890213
5,1,0,117.187,39,55,58.5106383,99.1584359,108.8890213
5,1,0,100.793,39,55,58.5106383,99.1584359,108.8890213
5,1,0,103.222,39,55,58.5106383,99.1584359,108.8890213
5,1,0,118.604,39,55,58.5106383,99.1584359,108.8890213
5,1,0,103.829,39,55,58.5106383,99.1584359,108.8890213
5,1,0,96.948,39,55,58.5106383,99.1584359,108.8890213
5,1,0,94.924,39,55,58.5106383,99.1584359,108.8890213
5,1,0,77.72,39,55,58.5106383,99.1584359,108.8890213
5,1,0,89.864,39,55,58.5106383,99.1584359,108.8890213
5,1,0,103.627,39,55,58.5106383,99.1584359,108.8890213
5,1,0,88.042,39,55,58.5106383,99.1584359,108.8890213
5,1,0,88.042,39,55,58.5106383,99.1584359,108.8890213
5,1,0,88.042,39,55,58.5106383,99.1584359,108.8890213
5,1,0,87.435,39,55,58.5106383,99.1584359,108.8890213
5,1,0,96.948,39,55,58.5106383,99.1584359,108.8890213
5,1,0,91.685,39,55,58.5106383,99.1584359,108.8890213
5,1,0,97.555,39,55,58.5106383,99.1584359,108.8890213
5,1,0,116.985,39,55,58.5106383,99.1584359,108.8890213
